anchor,positive
"The ratio of boys to girls in a class is 7 to 3.

Among the options below, an acceptable value for the total number of students in the class is:",General Aptitude: Numerical Ability - Ratio and Proportion
"A polygon is convex if, for every pair of points, P and Q belonging to the polygon, the line segment PQ lies completely inside or on the polygon.

Which one of the following is NOT a convex polygon?",General Aptitude: Numerical Ability - Geometry
"Consider the following sentences:
(i) Everybody in the class is prepared for the exam.
(ii) Babu invited Danish to his home because he enjoys playing chess.

Which of the following is the CORRECT observation about the above two sentences?",General Aptitude: Verbal Ability - Grammar and Sentence Structure
"A circular sheet of paper is folded along the lines in the directions shown. The paper, after being punched in the final folded state as shown and unfolded in the reverse order of folding, will look like __________ .",General Aptitude: Numerical Ability - Spatial Aptitude
"__________ is to surgery as writer is to __________.
Which one of the following options maintains a similar logical relation in the above sentence?",General Aptitude: Verbal Ability - Verbal Analogies
"We have 2 rectangular sheets of paper, M and N, of dimensions 6 cm x 1 cm each. Sheet M is rolled to form an open cylinder by bringing the short edges of the sheet together. Sheet N is cut into equal square patches and assembled to form the largest possible closed cube. Assuming the ends of the cylinder are closed, the ratio of the volume of the cylinder to that of the cube is __________.",General Aptitude: Numerical Ability - Mensuration and Geometry
"Details of prices of two items P and Q are presented in the table. The ratio of cost of item P to cost of item Q is 3:4. Discount is calculated as the difference between the marked price and the selling price. The profit percentage is calculated as the ratio of the difference between selling price and cost, to the cost (Profit % = ((Selling price - Cost) / Cost) * 100). The discount on item Q, as a percentage of its marked price, is __________.
| Items | Cost (₹) | Profit % | Marked Price (₹) |
|---|---|---|---|
| P | 5,400 | --- | 5,860 |
| Q | --- | 25 | 10,000 |","General Aptitude: Numerical Ability - Percentage, Profit, and Loss"
There are five bags each containing identical sets of ten distinct chocolates. One chocolate is picked from each bag. The probability that at least two chocolates are identical is __________.,General Aptitude: Numerical Ability - Probability
"Given below are two statements 1 and 2, and two conclusions I and II.
Statement 1: All bacteria are microorganisms.
Statement 2: All pathogens are microorganisms.
Conclusion I: Some pathogens are bacteria.
Conclusion II: All pathogens are not bacteria.
Based on the above statements and conclusions, which one of the following options is logically CORRECT?",General Aptitude: Verbal Ability - Logical Deduction
"Some people suggest anti-obesity measures (AOM) such as displaying calorie information in restaurant menus. Such measures sidestep addressing the core problems that cause obesity: poverty and income inequality.
Which one of the following statements summarizes the passage?",General Aptitude: Verbal Ability - Reading Comprehension
Suppose that L₁ is a regular language and L₂ is a context-free language. Which one of the following languages is NOT necessarily context-free?,CS - Theory of Computation: Regular and Context-Free Languages - Closure Properties of Language Classes
"Let P be an array containing n integers. Let t be the lowest upper bound on the number of comparisons of the array elements, required to find the minimum and maximum values in an arbitrary array of n elements. Which one of the following choices is correct?",CS - Algorithms: Algorithm Analysis - Analysis of Selection Algorithms (Min/Max finding)
"Consider the following three functions.
f₁ = 10ⁿ
f₂ = nˡᵒᵍⁿ
f₃ = n^√n
Which one of the following options arranges the functions in the increasing order of asymptotic growth rate?",CS - Algorithms: Asymptotic Analysis - Growth Rates of Functions
"Consider the following statements.
S₁: The sequence of procedure calls corresponds to a preorder traversal of the activation tree.
S₂: The sequence of procedure returns corresponds to a postorder traversal of the activation tree.
Which one of the following options is correct?",CS - Compiler Design: Runtime Environments - Activation Records and Call Stack Traversal
"Consider the following statements.
S₁: Every SLR(1) grammar is unambiguous but there are certain unambiguous grammars that are not SLR(1).
S₂: For any context-free grammar, there is a parser that takes at most O(n³) time to parse a string of length n.
Which one of the following options is correct?",CS - Theory of Computation: Parsing - SLR Parsers and General CFG Parsing Complexity (CYK Algorithm)
Let the representation of a number in base 3 be 210. What is the hexadecimal representation of the number?,CS - Digital Logic: Number Systems and Representations - Number Base Conversion
"Let p and q be two propositions. Consider the following two formulae in propositional logic.
S₁: (¬p ∧ (p → q)) → ¬q
S₂: q → (¬p ∧ (p → q))
Which one of the following choices is correct?","CS - Engineering Mathematics: Discrete Mathematics - Propositional Logic, Tautologies, and Logical Equivalence"
