topic_id,subject,topic_name,monte_carlo_prob,nptel_heat_score,prof_bias_score
1,CS - Computer Organization and Architecture,Memory Hierarchy - Cache Performance and CPI,0.07298604924561768,0.0,0.0
2,CS - Operating Systems,Process Synchronization - Deadlock Avoidance,0.04582733690366641,0.0015386294937637572,0.0
3,CS - Algorithms,Graph Algorithms - Shortest Path Properties (Johnson's Algorithm),0.056817630978816445,0.0,0.0
4,CS - Algorithms,Algorithm Analysis - Solving Recurrence Relations,0.056817630978816445,1.0,0.0
5,CS - Databases,Database Design and Normalization - Lossless Join Decomposition,0.06487775641365104,0.0,0.0
6,CS - Theory of Computation,Recursive and Recursively Enumerable Languages - Properties and Closure,0.07299755658574755,0.0,0.0
7,CS - Computer Organization and Architecture,Memory Hierarchy - Disk Storage,0.07298604924561768,0.0,0.0
8,CS - Compiler Design,Syntax Analysis - LL(1) Parsing Table Construction,0.03243828900977912,0.0,0.0
9,CS - Operating Systems,Deadlocks - Conditions for Deadlock,0.04582733690366641,0.0030051357300073375,0.0
10,CS - Algorithms,Graph Algorithms - Minimum Spanning Trees (MST),0.056817630978816445,0.0,0.0
11,GA - Analytical Aptitude,Logical Reasoning - Graph Theory and Connectivity,0.017616999084000946,0.0,0.0
12,CS - Databases,File Structures - B+ Tree Properties,0.06487775641365104,0.0,0.0
13,CS - Operating System,"Concurrency and Synchronization - Semaphores, Race Conditions, and Deadlock",0.08113754992326849,0.0,0.0
14,CS - Programming and Data Structures,"Data Structures - Queues, Linked Lists, Time Complexity",0.10545683565696502,0.4138635363169479,0.0
15,CS - Engineering Mathematics,Discrete Mathematics - Predicate Logic,0.1054223297135872,0.34849596478356565,0.0
16,CS - Engineering Mathematics,Calculus - Definite Integrals,0.1054223297135872,0.0,0.0
17,CS - Theory of Computation,Regular Expressions - Solving Recurrence Relations for Regular Grammars,0.07299755658574755,0.009015407190022012,0.0
18,DA - Algorithms,Graph Algorithms - Shortest Path Properties,0.0035214591728229662,0.0,0.0
19,GA - Analytical Aptitude,Puzzles - Spatial Reasoning,0.017616999084000946,0.0,0.0
20,DA - Algorithms,Stacks - Pseudocode Tracing,0.0035214591728229662,0.0,0.0
21,GA - Quantitative Aptitude,Algebra - Linear Equations,0.03920341122283779,0.0,0.0
22,CS - Engineering Mathematics,Graph Theory - Graph Coloring and Four Color Theorem,0.1054223297135872,0.0,0.0
23,CS - Engineering Mathematics,Discrete Mathematics - Relations and Their Properties,0.1054223297135872,0.07907377960381513,0.0
24,CS - Programming and Data Structures,Programming in C - Pointers and Call by Reference/Value,0.10545683565696502,0.0030772589875275144,0.0
25,CS - Databases,Indexing - B+ Tree Search,0.06487775641365104,0.0,0.0
26,CS - Programming and Data Structures,Heaps - Min-Heap Properties,0.10545683565696502,0.0,0.0
27,DA - Databases,Relational Database Design - Candidate Keys and BCNF,0.0026465337442448454,0.0,0.0
28,CS - Compiler Design,Syntax Analysis - Control Flow Paths,0.03243828900977912,0.0,0.0
29,CS - Digital Logic,Data Representation - 2's Complement and Sign-Magnitude,0.04861885724656857,0.00961643433602348,0.0
30,CS - Compiler Design,Code Optimization - Basic Blocks and Control Flow Graphs,0.03243828900977912,0.0,0.0
31,DA - Probability and Statistics,Limit Theorems - Central Limit Theorem,0.008368046624628868,0.0,0.0
32,CS - Operating Systems,Interrupts - Interrupt Handling,0.04582733690366641,0.0,0.0
33,CS - Engineering Mathematics,Discrete Mathematics - Group Theory,0.1054223297135872,0.10088041085840058,0.0
34,General Aptitude,Quantitative Aptitude - Sequences and Series,0.12170366001303264,0.0,0.0
35,CS - Databases,Relational Model - Terminology (Degree/Arity),0.06487775641365104,0.0,0.0
36,DA - Algorithms,Searching Algorithms - Binary Search,0.0035214591728229662,0.0,0.24503353537106434
37,CS - Engineering Mathematics,Linear Algebra - Eigenvalues and Eigenvectors,0.1054223297135872,0.0,0.0
38,GA - Quantitative Aptitude,Data Interpretation - Pie Charts and Tables,0.03920341122283779,0.0,0.0
39,CS - Programming and Data Structures,Programming in C - Functions and Call by Value,0.10545683565696502,0.044981247248716084,0.0
40,CS - Programming and Data Structures,Programming in C - Pointers and 2D Arrays,0.10545683565696502,0.018782098312545858,0.0
41,CS - Computer Organization and Architecture,Memory Hierarchy - Cache Mapping,0.07298604924561768,0.011539721203228177,0.0
42,CS - Algorithms,Analysis of Algorithms - Amortized Analysis (Queue Operations),0.056817630978816445,0.0015386294937637572,0.0
43,CS - Programming and Data Structures,Trees - Properties of Binary Search Trees (BST),0.10545683565696502,0.00240410858400587,0.0
44,CS - Computer Organization and Architecture,Interrupts - Interrupt Handling Sequence,0.07298604924561768,0.0,0.0
45,CS - Engineering Mathematics,Discrete Mathematics - Relations and Probability,0.1054223297135872,0.015005018341892886,0.0
46,CS - Programming and Data Structures,Heaps - Complexity of Heap Operations,0.10545683565696502,0.0,0.0
47,CS - Databases,Database Design and Normalization - Third Normal Form (3NF) and Boyce-Codd Normal Form (BCNF),0.06487775641365104,0.0,0.0
48,CS - Theory of Computation,Regular and Context-Free Languages - Closure Properties of Language Classes,0.07299755658574755,0.0,0.0
49,CS - Computer Organization and Architecture,CPU Design - RISC vs CISC Architecture,0.07298604924561768,0.0,0.0
50,DA - Data Structures,Queues - Deque Operations,0.0022064146551626714,0.0,0.0
51,CS - Operating Systems,Memory Management - Paging and Address Translation,0.04582733690366641,0.0,0.0
52,General Aptitude,Numerical Ability - Data Interpretation and Percentage,0.12170366001303264,0.0,0.0
53,CS - Operating System,CPU Scheduling - Shortest Remaining Time First (SRTF) Scheduling,0.08113754992326849,0.0,0.0
54,CS - Theory of Computation,Context-Free Languages - Identifying CFLs,0.07299755658574755,0.0,0.0
55,GA - Verbal Ability,Reading Comprehension - Paragraph Jumbles,0.02685821019834579,0.0,0.0
56,DA - Machine Learning,Supervised Learning - Naive Bayes Classifier,0.0066121157200683895,0.0,0.31140366436670236
57,DA - Machine Learning,Unsupervised Learning - Hierarchical Clustering,0.0066121157200683895,0.0,0.0
58,CS - Programming and Data Structures,"Programming in C - Pass by Reference/Value, Recursion",0.10545683565696502,0.002769533088774763,0.0
59,CS - Programming and Data Structures,Data Structures - Queues (Circular Array Implementation),0.10545683565696502,0.08856736023477625,0.0
60,DA - Machine Learning,Unsupervised Learning - Hierarchical Clustering (Single Linkage),0.0066121157200683895,0.0,0.0
61,DA - Linear Algebra,Matrices - Properties of Matrices,0.004406859254495474,0.0,0.0
62,CS - Computer Organization and Architecture,Memory Hierarchy - Disk I/O Performance,0.07298604924561768,0.0,0.0
63,CS - Engineering Mathematics,Numerical Methods - Trapezoidal Rule,0.1054223297135872,0.0,0.0
64,CS - Computer Networks,Data Link Layer - Transmission and Propagation Delay,0.048629636577785254,0.0,0.0
65,CS - Compiler Design,Intermediate Code Generation and Optimization - Directed Acyclic Graphs (DAG) for Common Subexpression Elimination,0.03243828900977912,0.0,0.0
66,GA - Verbal Ability,English Grammar - Adverbs and Word Order,0.02685821019834579,0.0,0.08178804174281498
67,GA - Verbal Ability,Analogy - Word Relationships,0.02685821019834579,0.0,0.0
68,CS - Algorithms,Graph Algorithms - Breadth First Search (BFS) Orderings,0.056817630978816445,0.0,0.0
69,GA - Quantitative Aptitude,Mensuration - Percentage Change,0.03920341122283779,0.0,0.0
70,CS - Compiler Design,Intermediate Code Generation - Static Single Assignment (SSA),0.03243828900977912,0.0,0.0
71,CS - Computer Organization and Architecture,Instruction Set Architecture - Instruction Format,0.07298604924561768,0.0,0.0
72,CS - Engineering Mathematics,Mathematical Logic - Logical Implication,0.1054223297135872,0.0,0.0
73,CS - Programming and Data Structures,Programming in C - Pointer Arithmetic,0.10545683565696502,0.20453176815847393,0.0
74,CS - Computer Organization and Architecture,Pipelining - Data Hazards,0.07298604924561768,0.0,0.0
75,CS - Digital Logic,Sequential Circuits - State Diagram Analysis (Johnson Counter),0.04861885724656857,0.01442465150403522,0.0
155,CS - Engineering Mathematics,Linear Algebra - Properties of Trace of a Matrix,0.1054223297135872,0.0,0.0
76,CS - Theory of Computation,Turing Machines and Undecidability - Countability of Languages and Programs,0.07299755658574755,0.0,0.0
77,GA - Verbal Ability,Grammar - Tenses,0.02685821019834579,0.0,0.1277938152231484
78,DA - Calculus,Differential Calculus - Extrema on an Interval,0.00352253587875968,0.0,0.0
79,GA - Verbal Ability,Reading Comprehension - Inference,0.02685821019834579,0.0,0.0
80,GA - Analytical Aptitude,Logical Reasoning - Blood Relations,0.017616999084000946,0.0,0.0
81,CS - Computer Networks,Application and Network Layer - Address Resolution Protocols,0.048629636577785254,0.014086573734409394,0.0
82,CS - Theory of Computation,Regular Languages - Closure Properties,0.07299755658574755,0.00721232575201761,0.0
